track,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,0.102,0.748,194754,0.916,0,6,0.0653,-2.634,1,0.0583,122.036,0.518
Memories - Dillon Francis Remix,Maroon 5,0.0724,0.726,162600,0.815,0.00421,11,0.357,-4.969,1,0.0373,99.972,0.693
All the Time - Don Diablo Remix,Zara Larsson,0.0794,0.675,176616,0.931,0.0000233,1,0.11,-3.432,0,0.0742,124.008,0.613
Call You Mine - Keanu Silva Remix,The Chainsmokers,0.0287,0.718,169093,0.93,0.00000943,7,0.204,-3.778,1,0.102,121.956,0.277
Someone You Loved - Future Humans Remix,Lewis Capaldi,0.0803,0.65,189052,0.833,0,1,0.0833,-4.672,1,0.0359,123.976,0.725
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,0.0799,0.675,163049,0.919,0,8,0.143,-5.385,1,0.127,124.982,0.585
Never Really Over - R3HAB Remix,Katy Perry,0.187,0.449,187675,0.856,0,5,0.176,-4.788,0,0.0623,112.648,0.152
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,0.0335,0.542,207619,0.903,0.00000483,4,0.111,-2.419,0,0.0434,127.936,0.367
Tough Love - Tiësto Remix / Radio Edit,Avicii,0.0249,0.594,193187,0.935,0.00000397,8,0.637,-3.562,1,0.0565,127.015,0.366
If I Can't Have You - Gryffin Remix,Shawn Mendes,0.0567,0.642,253040,0.818,0,2,0.0919,-4.552,1,0.032,124.957,0.59
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,0.146,0.679,207894,0.923,0.00000492,6,0.124,-6.5,1,0.181,121.984,0.752
Hate Me - R3HAB Remix,Ellie Goulding,0.148,0.437,203733,0.774,0,8,0.133,-4.918,1,0.0554,123.125,0.329
Body On My,Loud Luxury,0.0399,0.744,192507,0.726,0,1,0.374,-4.675,1,0.0463,121.985,0.687
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,0.0111,0.572,164516,0.915,0,5,0.339,-4.451,0,0.0625,123.919,0.678
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,0.00733,0.69,255238,0.78,0.00183,5,0.0729,-4.446,0,0.0594,126.07,0.238
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,0.13,0.805,188230,0.835,0.00000503,0,0.365,-4.603,1,0.0896,125.028,0.722
All My Friends - Eden Prince Remix,AJ Mitchell,0.0702,0.694,173548,0.901,0,1,0.427,-4.322,0,0.0948,118.051,0.368
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,0.0395,0.678,189375,0.747,0,10,0.174,-5.289,0,0.165,120.002,0.516
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,0.103,0.746,159404,0.557,0.0036,1,0.138,-6.722,1,0.0542,111.961,0.324
Let It Be Me - Sondr Remix,Steve Aoki,0.00791,0.467,185366,0.821,0.000441,7,0.131,-5.466,1,0.0934,122.676,0.232
Heaven - David Guetta & MORTEN Remix,Avicii,0.00292,0.572,215238,0.934,0.0198,6,0.105,-5.053,0,0.0446,125.948,0.204
All Around The World (La La La) - Marnik Remix,R3HAB,0.089,0.708,170667,0.913,0.081,9,0.113,-4.329,0,0.0348,135.016,0.707
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,0.0469,0.684,210968,0.818,0.00000339,4,0.119,-4.477,0,0.128,123.938,0.336
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,0.114,0.732,193548,0.85,0.00000202,1,0.0388,-5.999,1,0.0444,124.024,0.372
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,0.0163,0.62,205093,0.889,0.0000186,11,0.395,-3.785,1,0.0352,110.018,0.422
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,0.104,0.675,172800,0.76,0,11,0.33,-7.037,1,0.0434,124.933,0.468
One Thing Right - Firebeatz Remix,Marshmello,0.0146,0.682,192381,0.851,0.000834,1,0.0289,-7.117,0,0.0363,126,0.348
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,0.0325,0.663,175000,0.905,0,1,0.333,-3.781,0,0.0511,125.996,0.397
So Am I - Toby Green Remix,Ava Max,0.00432,0.625,166875,0.938,0.00026,6,0.0923,-3.983,1,0.0517,127.997,0.371
When You Leave - Breathe Carolina Remix,Nikki Vianna,0.0334,0.679,155080,0.909,0,1,0.269,-2.929,1,0.105,119.885,0.819
Mother - Fedde Le Grand Remix,Charlie Puth,0.0319,0.641,178125,0.869,0.00131,11,0.403,-4.754,1,0.0423,128.091,0.358
Signs - Eden Prince Remix,Starley,0.107,0.702,172000,0.814,0.0000303,0,0.374,-7.51,0,0.0841,121.993,0.503
Ruin My Life - Steve James Remix,Zara Larsson,0.0103,0.723,177097,0.837,0.000477,11,0.0834,-6.487,1,0.0389,123.952,0.643
Torn - KREAM Remix,Ava Max,0.00141,0.742,169935,0.864,0.00467,0,0.241,-5.06,1,0.0976,125.032,0.727
Quite Miss Home - Steve Void Remix,James Arthur,0.108,0.716,220413,0.815,0,10,0.163,-4.121,1,0.0533,124.975,0.351
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,0.0823,0.748,185273,0.831,0.0000736,1,0.0757,-5.029,1,0.115,128.024,0.894
Happier - Matt Medved Remix,Marshmello,0.126,0.816,170164,0.833,0.00000909,5,0.0625,-5.972,1,0.0511,122.032,0.793
Side Effects - Fedde Le Grand Remix,The Chainsmokers,0.0382,0.633,172360,0.854,0.0000283,0,0.434,-4.046,0,0.0432,126.026,0.659
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,0.00522,0.563,247385,0.81,0,2,0.0846,-2.921,1,0.0522,129.975,0.495
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,0.00223,0.728,218015,0.815,0.000317,11,0.101,-2.878,0,0.046,124.019,0.681
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,0.0141,0.846,200444,0.773,0.0000223,5,0.204,-3.503,1,0.0473,124.008,0.586
Higher Love,Kygo,0.0154,0.693,228267,0.678,0.00000605,8,0.101,-7.159,1,0.0324,103.952,0.404
Unlove You,Armin van Buuren,0.0303,0.678,150160,0.928,0.0000333,3,0.143,-3.66,0,0.0597,116.892,0.663
bad guy (with Justin Bieber),Billie Eilish,0.252,0.67,194840,0.453,0.33,0,0.117,-11.265,1,0.295,135.055,0.68
Freaking Me Out - Keanu Silva Remix,Ava Max,0.132,0.755,177466,0.931,0.0271,1,0.0854,-4.104,0,0.0606,122.041,0.288
Heaven Can Wait - The Aston Shuffle Remix,Sia,0.000609,0.622,218373,0.859,0.746,5,0.0909,-7.626,1,0.0636,121.968,0.442
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,0.0538,0.789,144073,0.893,0,10,0.221,-4.364,0,0.168,121.956,0.41
Gone - The Wild Remix,Charli XCX,0.0588,0.64,193861,0.838,0.0000199,6,0.0424,-4.203,1,0.0416,124.081,0.587
American Boy - Brooks Remix,Estelle,0.0994,0.609,200625,0.764,0,5,0.197,-4.564,0,0.111,128.082,0.531
Million Pieces - M-22 Remix,Bastille,0.0832,0.64,166237,0.992,0.0083,4,0.109,-3.318,0,0.0585,123.951,0.479
joy. (R3HAB Remix),for KING & COUNTRY,0.0917,0.75,171500,0.81,0.0000159,0,0.111,-4.607,0,0.0572,120.038,0.48
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,0.000609,0.535,266719,0.956,0.0109,1,0.262,-2.996,0,0.0343,127.984,0.12
Old Town Road - Diplo Remix,Lil Nas X,0.00407,0.766,204027,0.771,0.00000376,6,0.113,-9.108,1,0.0576,140.036,0.297
Lovers + Strangers - GATTÜSO Remix,Starley,0.017,0.649,203968,0.821,0.000347,10,0.0655,-4.952,0,0.0472,125.977,0.394
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,0.186,0.588,190417,0.697,0.000219,3,0.103,-4.744,0,0.0372,125.157,0.225
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,0.0148,0.355,237686,0.789,0,5,0.0355,-4.358,0,0.165,80.444,0.169
What Am I - SONDR Remix,Why Don't We,0.0336,0.542,180361,0.84,0.0000845,0,0.277,-5.283,0,0.0419,118.02,0.509
Cool Kids,Olympis,0.415,0.735,139048,0.5,0.0000312,8,0.13,-11.297,1,0.0511,126.1,0.119
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,0.00486,0.752,279800,0.84,0.0109,6,0.0916,-4.451,0,0.0373,124.002,0.461
All Star - Breathe Carolina Remix,Smash Mouth,0.0324,0.748,217043,0.903,0,3,0.106,-5.877,0,0.0385,115.018,0.751
Trampoline - Dave Audé Remix,SHAED,0.0163,0.607,230476,0.955,0.121,7,0.0725,-3.613,0,0.102,125.984,0.501
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,0.0921,0.607,188640,0.995,0.002,9,0.0445,-2.325,0,0.0487,124.998,0.664
With You - Dexter Remix,Kaskade,0.119,0.679,196613,0.786,0.00000589,1,0.224,-6.918,0,0.132,126.092,0.47
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,0.0204,0.714,210000,0.801,0.00615,5,0.334,-5.8,0,0.0301,124.015,0.292
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,0.0611,0.69,187869,0.862,0.0000185,2,0.238,-4.154,1,0.0944,121.975,0.453
Talk - Disclosure VIP,Khalid,0.0158,0.775,273229,0.867,0.0117,4,0.0355,-7.388,0,0.204,128.956,0.565
Spicy - Majestic Remix,Herve Pagez,0.001,0.814,255861,0.838,0.0223,11,0.0185,-5.547,1,0.0763,121.978,0.959
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,0.0357,0.784,216714,0.779,0.025,8,0.0245,-5.48,1,0.0387,124.994,0.459
Treehouse - R3HAB Remix,James Arthur,0.00515,0.367,192653,0.783,0,6,0.0545,-4.504,1,0.154,88.013,0.289
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,0.201,0.609,238451,0.83,0.0000618,6,0.0321,-3.759,0,0.0793,117.833,0.604
Call You Mine,The Chainsmokers,0.225,0.591,217653,0.702,0,7,0.414,-5.59,1,0.0289,104.003,0.501
Post Malone (feat. RANI),Sam Feldt,0.0771,0.59,174444,0.642,0,7,0.105,-3.87,1,0.122,107.356,0.651
Here With Me,Marshmello,0.0623,0.791,156347,0.565,0,5,0.156,-3.933,0,0.0439,99.961,0.181
Easier - Seeb Remix,5 Seconds of Summer,0.0728,0.564,165767,0.747,0,5,0.151,-3.374,1,0.0584,97.878,0.717
Sixteen,Ellie Goulding,0.268,0.669,201072,0.801,0,8,0.0594,-5.445,1,0.136,109.919,0.541
Never Really Over,Katy Perry,0.194,0.77,223523,0.882,0,8,0.316,-4.792,1,0.0602,99.991,0.385
All You Need To Know (feat. Calle Lehmann),Gryffin,0.00968,0.513,238459,0.788,0,0,0.11,-4.629,1,0.0364,139.987,0.234
I Miss Myself (with HRVY),NOTD,0.0856,0.72,191612,0.864,0,0,0.16,-3.249,1,0.208,96.048,0.659
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,0.22,0.789,173455,0.858,0.0000458,5,0.335,-4.388,1,0.0404,110.012,0.491
Takeaway (feat. Lennon Stella),The Chainsmokers,0.12,0.294,209893,0.505,0,3,0.0977,-8.106,1,0.042,85.332,0.357
All the Time,Zara Larsson,0.18,0.665,228112,0.799,0,6,0.125,-2.868,0,0.0617,101.976,0.5
